age,filt_ch4
3160.0,600.2721876164636
3170.0,600.139036790262
3180.0,600.0066675543121
3190.0,599.8750833224447
3200.0,599.7442874891755
3210.0,599.6142834295704
3220.0,599.4850744991106
3230.0,599.35666403356
3240.0,599.2290553488314
3250.0,599.1022517408537
3260.0,598.9762564854403
3270.0,598.8510728381574
3280.0,598.7267040341933
3290.0,598.6031532882286
3300.0,598.4804237943065
3310.0,598.3585187257036
3320.0,598.2374412348017
3330.0,598.1171944529607
3340.0,597.997781490391
3350.0,597.8792054360272
3360.0,597.7614693574013
3370.0,597.6445763005187
3380.0,597.5285292897323
3390.0,597.41333132762
3400.0,597.2989853948601
3410.0,597.1854944501096
3420.0,597.0728614298811
3430.0,596.9610892484222
3440.0,596.8501807975939
3450.0,596.7401389467503
3460.0,596.6309665426203
