age,d18O
121800.0,0.36
121940.0,0.55
122070.0,0.46
122200.0,0.52
122330.0,0.39
122460.0,0.42
122590.0,0.16
122730.0,0.35
122860.0,0.21
123040.0,0.56
123220.0,0.31
123390.0,0.28
123570.0,-0.03
123760.0,0.29
123930.0,0.24
124110.0,-0.1
124290.0,0.11
124460.0,0.1
124650.0,0.15
124830.0,0.51
125000.0,0.08
125180.0,0.23
125360.0,0.17
125530.0,0.11
125720.0,-0.1
125900.0,0.05
126070.0,0.01
126170.0,0.1
126240.0,-0.03
126320.0,0.09
126410.0,0.36
126480.0,0.07
126560.0,-0.06
126640.0,0.19
126720.0,-0.18
126800.0,0.32
126870.0,0.04
126950.0,-0.11
127020.0,-0.05
127100.0,-0.05
127170.0,-0.01
127260.0,0.08
127330.0,-0.04
127410.0,-0.17
127480.0,-0.01
127560.0,-0.04
127630.0,0.1
127710.0,0.11
127790.0,0.11
127860.0,0.05
127940.0,0.09
128009.99999999999,0.08
128090.0,-0.06
128169.99999999999,-0.3
128250.0,0.15
128320.0,0.08
128380.0,-0.07
128449.99999999999,0.41
128509.99999999999,0.38
128570.0,0.44
128630.0,0.35
128699.99999999999,0.6
128759.99999999999,0.93
128820.0,0.67
128880.0,0.13
128979.99999999999,0.36
129090.0,0.97
129210.00000000001,0.47
129320.0,0.98
129440.0,0.97
129539.99999999999,0.92
129660.0,0.88
129889.99999999999,1.02
130000.0,0.94
130110.00000000001,0.91
130229.99999999999,0.96
130350.0,0.82
130449.99999999999,1.02
130570.0,0.93
130680.0,0.97
130800.00000000001,0.81
130919.99999999999,0.95
131020.00000000001,1.02
131140.0,0.73
131250.0,1.17
131370.0,0.97
131480.0,1.2
131590.0,1.31
131710.0,0.98
131960.0,1.16
132090.0,1.5
132230.0,1.57
132360.0,1.81
132480.0,1.9
132890.0,1.91
133280.0,2.3
133540.0,2.13
133670.0,2.01
133940.0,1.81
134070.0,2.33
134200.0,2.24
134310.0,2.26
134430.0,2.42
134540.0,2.53
134640.0,2.56
134760.0,2.59
134870.0,2.46
134980.0,2.74
135080.0,2.52
135200.0,2.57
135310.0,2.63
135420.0,2.5
135530.0,2.7
135640.0,2.71
135750.0,2.7
135870.0,2.65
135970.0,2.79
136310.0,2.72
136640.0,2.05
136970.0,1.9
137370.0,1.92
137810.0,1.78
138200.0,1.2
138590.0,1.74
138990.0,2.07
139290.0,1.69
139590.0,1.7
139890.0,1.92
140190.0,1.9
140490.0,2.17
141090.0,2.52
141390.0,2.75
141690.0,2.21
141940.0,2.6
142140.0,2.19
142330.0,2.3
142520.0,2.27
142710.0,2.17
142910.0,2.26
143100.0,2.21
143300.0,2.3
143490.0,2.47
143680.0,2.57
143870.0,2.07
144060.0,2.77
144270.0,2.76
144470.0,2.75
144670.0,2.95
144880.0,2.75
145080.0,2.83
145280.0,2.83
145490.0,2.71
145690.0,2.77
145900.0,2.59
146100.0,2.61
146300.0,2.78
146510.0,2.61
146710.0,2.95
147020.0,2.85
147320.0,2.71
147630.0,2.79
147930.0,2.66
148230.0,2.91
148500.0,2.97
148680.0,2.91
148870.0,2.8
149050.0,2.63
149240.0,2.37
149440.0,2.44
149870.0,2.83
150090.0,2.49
150710.0,2.41
151490.0,2.78
151880.0,2.7
152260.0,2.65
152650.0,2.47
153040.0,2.78
153820.0,2.9
154210.0,3.01
154600.0,2.84
154990.0,2.81
155380.0,2.88
155760.0,2.85
156150.0,2.91
156540.0,2.75
156930.0,2.72
157310.0,2.48
157700.0,2.66
158090.0,2.53
158490.0,2.28
158870.0,2.51
159260.0,2.15
159660.0,1.99
160040.0,1.96
160390.0,2.31
160870.0,2.46
161340.0,2.29
161820.0,2.23
162290.0,2.22
162770.0,2.28
163150.0,2.32
163550.0,2.63
163910.0,2.68
164130.0,2.19
164340.0,2.24
164640.0,2.21
164980.0,2.11
165330.0,2.11
165670.0,2.02
166020.0,1.85
166710.0,1.96
167060.0,1.75
167400.0,1.75
167750.0,1.96
168440.0,1.5
168790.0,1.71
169130.0,1.27
169450.0,1.39
169760.0,1.43
170060.0,1.21
170360.0,2.15
170700.0,2.14
171030.0,2.18
171370.0,1.93
171710.0,2.0
172040.0,2.47
172370.0,2.28
172710.0,2.39
173040.0,2.18
173380.0,2.13
173720.0,1.89
174050.0,1.29
174380.0,1.49
174710.0,2.27
175170.0,2.2
175650.0,2.15
176110.0,2.47
176590.0,2.24
177060.0,2.17
177520.0,2.35
178000.0,2.07
178490.0,2.11
179230.0,1.84
179230.0,1.21
179980.0,2.31
180300.0,2.39
180600.0,2.09
181180.0,2.41
181480.0,2.34
181770.0,2.31
182070.0,2.18
182370.0,1.45
182660.0,2.01
182960.0,1.63
183540.0,1.56
183840.0,1.73
184130.0,1.64
184430.0,1.69
184720.0,1.82
185010.0,1.78
185300.0,1.57
185570.0,1.57
185850.0,1.67
186120.0,1.86
186390.0,1.76
186660.0,1.64
186940.0,1.42
187210.0,1.41
187480.0,1.3
188160.0,0.81
188520.0,0.82
189030.0,1.23
189210.0,1.07
189390.0,0.93
189570.0,0.61
189750.0,1.64
189940.0,1.2
190030.0,1.54
190300.0,1.17
190570.0,2.14
190840.0,1.71
191100.0,1.88
192580.0,2.09
194410.0,0.71
194550.0,1.09
194950.0,1.7
195040.0,1.09
195960.0,0.44
196970.0,0.2
197120.0,0.44
197260.0,0.19
197550.0,0.46
197690.0,0.71
197840.0,0.52
197980.0,0.29
198120.0,0.3
198270.0,0.27
198410.0,0.49
198560.0,1.0
198560.0,0.76
198700.0,0.44
198840.0,0.23
198990.0,0.67
199130.0,0.64
199280.0,0.92
199420.0,0.78
199570.0,0.91
199710.0,1.1
199850.0,1.41
200000.0,1.46
200140.0,1.28
200430.0,1.41
200570.0,1.6
200720.0,1.91
200860.0,1.52
201010.0,1.76
201150.0,1.71
201290.0,1.76
201580.0,1.66
201870.0,1.97
202020.0,1.64
202160.0,1.48
202300.0,1.03
202450.0,1.64
202590.0,1.18
202740.0,0.98
202880.0,0.68
203020.0,1.03
203170.0,0.34
203310.0,0.9
203460.0,0.94
203600.0,0.71
203740.0,0.54
203890.0,0.79
204030.0,1.37
204180.0,1.06
204320.0,0.91
204470.0,0.68
204610.0,0.38
204750.0,0.41
204900.0,0.35
205040.0,0.6
205190.0,0.69
205330.0,0.41
205470.0,0.98
205620.0,0.47
205760.0,0.68
205910.0,0.27
206050.0,0.64
206190.0,0.68
206340.0,0.48
206480.0,0.43
206630.0,0.2
206770.0,0.43
206920.0,0.23
207060.0,0.25
207200.0,0.53
207350.0,0.5
207490.0,0.74
207640.0,0.48
207780.0,0.44
207920.0,0.51
208070.0,0.77
208210.0,0.39
208360.0,0.53
208500.0,0.54
208640.0,0.4
208790.0,0.13
208930.0,0.54
209080.0,0.64
209220.0,0.41
209370.0,0.13
209510.0,0.48
209650.0,0.24
209800.0,0.24
209940.0,0.2
210090.0,0.73
210230.0,0.87
210370.0,0.54
210520.0,0.94
210660.0,0.44
210810.0,0.35
210950.0,1.02
211090.0,0.64
211240.0,0.55
211380.0,0.61
211530.0,0.39
211670.0,0.44
211820.0,0.61
211960.0,0.42
212100.0,0.35
212250.0,0.4
212440.0,0.65
212690.0,0.25
212930.0,0.36
213420.0,0.37
213670.0,0.63
213920.0,0.46
214160.0,0.4
214410.0,0.68
214650.0,0.73
214900.0,0.6
215140.0,0.74
215390.0,0.57
215630.0,0.5
215880.0,0.54
216130.0,0.82
216370.0,0.68
216620.0,0.97
216860.0,0.45
217110.0,1.5
217350.0,1.08
217600.0,0.93
217840.0,0.8
218090.0,0.78
218330.0,0.5
218580.0,1.53
218700.0,1.65
218950.0,1.71
219190.0,1.87
219440.0,1.7
219680.0,1.76
219930.0,1.7
220180.0,2.04
220420.0,2.22
220670.0,2.28
220910.0,2.17
221160.0,1.76
221400.0,1.82
221650.0,1.69
221890.0,1.77
222140.0,1.61
222380.0,1.47
222630.0,1.25
222880.0,1.16
223120.0,0.91
223370.0,1.16
223610.0,1.17
223860.0,1.93
224100.0,1.75
224350.0,1.96
224590.0,2.19
224840.0,2.36
225090.0,1.84
225330.0,1.79
225580.0,1.65
225820.0,1.33
226080.0,1.6
226340.0,1.35
226610.0,1.37
226680.0,1.63
226880.0,1.42
226930.0,1.53
227140.0,1.58
227170.0,1.48
227410.0,1.56
227420.0,1.75
227660.0,1.51
227660.0,1.01
227910.0,1.5
227930.0,1.32
228150.0,1.34
228190.0,1.25
228400.0,1.35
228460.0,1.24
228640.0,1.3
228730.0,1.42
228890.0,1.41
228990.0,1.16
229140.0,0.9
229260.0,1.86
229630.0,1.09
229870.0,1.9
230120.0,1.21
230240.0,1.7
230360.0,1.49
230610.0,1.01
230850.0,1.13
231100.0,0.82
231350.0,1.09
231590.0,0.84
231840.0,0.77
232080.0,1.0
232330.0,0.76
232570.0,0.94
232820.0,1.02
233060.0,0.85
233310.0,0.98
233550.0,1.07
233800.0,1.46
234050.0,1.21
234290.0,0.6
234540.0,0.86
234780.0,0.49
235030.0,0.46
235270.0,0.86
235760.0,1.22
236010.0,0.9
236250.0,0.49
236500.0,0.99
236750.0,0.65
236990.0,0.78
237240.0,0.82
237480.0,1.02
237730.0,0.76
237970.0,0.56
238220.0,0.94
238460.0,0.85
238710.0,0.4
238960.0,0.71
239200.0,0.57
239450.0,0.63
239690.0,0.75
239940.0,0.46
240130.0,0.67
240260.0,0.51
240400.0,0.61
240530.0,0.51
240670.0,0.41
240800.0,0.41
240940.0,0.22
241070.0,0.5
241210.0,0.45
241340.0,0.3
241480.0,0.92
241610.0,0.68
241750.0,1.09
241880.0,1.07
242020.0,0.93
242150.0,1.31
242290.0,1.09
242560.0,0.95
242690.0,1.06
242830.0,1.05
242960.0,1.43
243100.0,1.28
243230.0,1.94
243360.0,1.61
243500.0,1.54
243630.0,1.85
243770.0,1.97
243900.0,2.25
244040.0,2.06
244170.0,2.1
244310.0,2.22
244440.0,2.35
244580.0,2.27
244710.0,2.41
244850.0,2.26
244980.0,2.5
245120.0,2.19
245250.0,2.24
245390.0,2.42
245520.0,2.28
245660.0,2.22
245790.0,2.07
245930.0,2.06
246060.0,2.21
246200.0,2.0
246330.0,1.47
246470.0,1.96
246600.0,1.45
246740.0,1.33
246870.0,1.25
247010.0,1.45
247140.0,1.33
247280.0,1.23
247410.0,1.35
247550.0,1.06
247680.0,1.22
247820.0,0.88
247950.0,1.2
248090.0,0.95
248220.0,0.77
248360.0,1.21
248490.0,1.41
248630.0,1.29
248760.0,1.35
248900.0,1.36
249030.0,1.54
249170.0,1.77
249300.0,2.6
249430.0,2.32
249570.0,1.84
249700.0,2.66
249840.0,2.46
249970.0,2.5
250110.0,2.55
250240.0,2.33
250380.0,2.24
250450.0,2.27
250650.0,2.34
250780.0,2.33
250920.0,2.2
251050.0,1.64
251190.0,1.8
251320.0,1.75
251460.0,1.76
251590.0,1.64
251730.0,1.82
251800.0,1.73
252000.0,1.69
252130.0,2.14
252270.0,1.96
252400.0,2.16
252540.0,2.44
252670.0,2.6
252810.0,2.37
252940.0,2.31
253080.0,2.51
253350.0,2.37
253480.0,1.87
253680.0,1.59
253820.0,1.43
253950.0,1.6
254090.0,1.67
254220.0,1.7
254360.0,1.66
254490.0,1.29
254490.0,1.65
254760.0,1.6
254900.0,1.77
255030.0,1.74
255170.0,1.64
255300.0,1.79
255440.0,1.52
255570.0,1.47
255710.0,1.8
255840.0,1.49
255980.0,1.59
256110.0,1.61
256380.0,1.49
256519.99999999997,1.27
256649.99999999997,1.41
256790.00000000003,1.63
256920.00000000003,1.87
257060.0,1.97
257190.0,1.84
257329.99999999997,1.81
257459.99999999997,1.56
257600.00000000003,1.75
257730.00000000003,1.56
257870.0,1.55
258000.0,1.68
258140.0,1.62
258269.99999999997,1.82
258410.00000000003,1.77
258540.00000000003,1.56
258670.00000000003,1.67
258810.0,1.88
258940.0,1.6
259079.99999999997,1.74
259209.99999999997,1.88
259350.00000000003,1.95
259480.00000000003,1.8
259620.0,1.77
259750.0,1.83
259890.0,1.71
260019.99999999997,1.95
260160.00000000003,1.53
260290.00000000003,1.59
260430.0,1.55
260560.0,1.61
260630.0,1.7
260769.99999999997,1.59
260899.99999999997,1.62
261040.00000000003,1.74
261170.00000000003,1.37
261310.0,1.34
261440.0,1.74
261709.99999999997,1.57
261839.99999999997,1.64
261980.00000000003,1.34
262110.0,1.71
262250.0,1.44
262380.0,1.68
262520.0,1.49
262650.0,1.83
262790.0,1.69
262920.0,2.15
263060.0,2.07
263190.0,2.04
263330.0,2.18
263460.0,2.34
263600.0,2.0
263730.0,1.98
263870.0,1.95
264000.0,1.86
264140.0,1.69
264270.0,2.04
264410.0,1.87
264460.0,1.99
264540.0,2.28
264600.0,2.18
264680.0,2.13
264720.0,1.84
264810.0,1.82
264860.0,1.61
264950.0,1.81
264990.0,1.82
265080.0,2.04
265130.0,1.65
265220.0,1.41
265260.0,1.78
265350.0,1.56
265390.0,1.56
265490.0,1.68
