age,d18O
231029.0,-57.89
231543.0,-58.62
231803.0,-59.21
232078.0,-59.45
232730.0,-59.22
233272.0,-59.36
233515.0,-59.2
233839.0,-58.33
234000.0,-58.77
234155.0,-58.04
234616.0,-58.42
234849.0,-59.04
235081.0,-58.22
235384.0,-58.26
235535.0,-58.44
235832.0,-58.33
236122.0,-58.03
236332.0,-57.93
236541.0,-57.85
236922.0,-56.84
237315.0,-57.1
237443.0,-56.68
237571.0,-57.06
237824.0,-57.52
238074.0,-56.08
238200.0,-56.22
238324.0,-56.36
238448.0,-55.99
238572.0,-56.46
238818.0,-55.97
239056.0,-55.99
239160.0,-56.1
239276.0,-55.92
239507.0,-56.16
240189.0,-56.04
240307.0,-55.93
240425.0,-55.37
240541.0,-55.35
240785.0,-55.38
241037.0,-54.99
241161.0,-54.95
241283.0,-55.16
241402.0,-54.77
241522.0,-55.08
241756.0,-54.38
241985.0,-53.88
242226.0,-53.85
242467.0,-53.4
242588.0,-52.32
242703.0,-52.75
242929.0,-52.82
243039.0,-51.96
243146.0,-51.79
243360.0,-52.66
243579.0,-52.11
243799.0,-52.35
244032.0,-53.17
244523.0,-52.86
244784.0,-54.02
245062.0,-54.84
245495.0,-55.01
245953.0,-55.72
246272.0,-56.4
246958.0,-57.31
247305.0,-57.23
247689.0,-57.84
248471.0,-57.89
248858.0,-56.97
249235.0,-56.74
250392.0,-58.1
251008.0,-58.68
252082.0,-57.93
252558.0,-58.59
253290.0,-58.31
254047.0,-59.12
254552.0,-58.55
255082.0,-58.76
255609.0,-58.99
256150.0,-58.61
256420.0,-58.55
256716.0,-59.1
257320.0,-58.38
257918.0,-58.84
258204.0,-58.05
258511.0,-58.81
258809.0,-58.07
259681.0,-58.02
260267.0,-58.21
260556.0,-58.16
260832.0,-57.57
261104.0,-57.85
261348.0,-58.4
261839.0,-58.68
262351.0,-58.13
262609.0,-58.53
262865.0,-59.22
263121.0,-58.36
263376.0,-58.42
263815.0,-58.39
264019.0,-57.99
264232.0,-58.84
264628.0,-58.36
264837.0,-58.04
265053.0,-58.43
265266.0,-59.03
265485.0,-58.26
265906.0,-57.62
266291.0,-58.19
266471.0,-57.87
266630.0,-57.85
266790.0,-58.35
266956.0,-58.69
267283.0,-58.52
267614.0,-58.14
267786.0,-58.47
267960.0,-58.71
268133.0,-58.16
268309.0,-58.91
268578.0,-58.75
268859.0,-59.6
269005.0,-58.91
269148.0,-58.97
269290.0,-58.77
269433.0,-59.61
269723.0,-59.2
270014.0,-59.48
270167.0,-59.07
270336.0,-59.1
270508.0,-59.68
270686.0,-59.85
271040.0,-59.86
271407.0,-60.21
271594.0,-59.79
271781.0,-59.83
271967.0,-59.4
272151.0,-60.24
272521.0,-59.77
272844.0,-59.85
273002.0,-59.94
273161.0,-59.22
273319.0,-59.46
273476.0,-59.75
273785.0,-59.83
274089.0,-59.48
274242.0,-59.74
274405.0,-59.31
274569.0,-59.67
274727.0,-59.54
275043.0,-59.16
275338.0,-59.63
275489.0,-59.56
275679.0,-59.83
276253.0,-59.57
278766.0,-59.55
279004.0,-59.42
279356.0,-58.82
279717.0,-59.02
280391.0,-58.65
281058.0,-57.99
281384.0,-57.83
281662.0,-58.41
281983.0,-57.91
282309.0,-58.4
283034.0,-58.37
283403.0,-57.98
283772.0,-57.96
284507.0,-56.97
285223.0,-57.38
285586.0,-57.65
285930.0,-57.3
286579.0,-56.95
286903.0,-56.56
287162.0,-56.67
287406.0,-56.77
287650.0,-56.9
288130.0,-56.65
288614.0,-56.43
288865.0,-56.69
289112.0,-56.32
289541.0,-56.16
289730.0,-56.27
289899.0,-57.08
290055.0,-56.57
290214.0,-55.99
290519.0,-55.9
290670.0,-56.18
290825.0,-56.55
291117.0,-57.01
291442.0,-56.77
291606.0,-56.83
291769.0,-57.03
291954.0,-56.56
292146.0,-57.4
292534.0,-57.66
292728.0,-57.33
292924.0,-57.6
293343.0,-57.93
293771.0,-58.15
293978.0,-56.88
294184.0,-57.84
294390.0,-57.95
294602.0,-58.5
295021.0,-57.94
295226.0,-57.4
295631.0,-57.85
296052.0,-57.92
296308.0,-57.95
296352.0,-57.93
296396.0,-57.95
296439.0,-57.79
296483.0,-58.08
296527.0,-58.23
296572.0,-58.29
296617.0,-57.41
296663.0,-57.56
296708.0,-57.85
296754.0,-57.53
296799.0,-57.8
296845.0,-58.08
296890.0,-58.1
296936.0,-58.1
296981.0,-58.01
297028.0,-58.62
297076.0,-58.62
297123.0,-58.5
297170.0,-58.29
297218.0,-58.05
297265.0,-58.18
297312.0,-58.74
297360.0,-59.06
297407.0,-58.99
297455.0,-58.42
297503.0,-58.35
297551.0,-57.91
297599.0,-58.72
297648.0,-58.29
297696.0,-58.62
297744.0,-58.69
297793.0,-58.36
