age,d18O,filt_interp,residual,pre,obl
4460.0,3.17,3.2362198230905497,-0.06621982309054975,0.008385799999999999,0.418364
4590.0,3.255,3.2365377521308045,0.01846224786919537,0.007765,0.4185841
4720.0,3.11,3.2370308727594868,-0.12703087275948688,0.00713,0.4187986
4850.0,3.23,3.2376862993255098,-0.007686299325509793,0.0064835,0.41900950000000003
4980.0,3.375,3.238490399380724,0.13650960061927586,0.0058282,0.41921559999999997
5110.0,3.275,3.239428840888352,0.035571159111647876,0.0051666,0.4194172
5240.0,3.1628,3.2404866433973494,-0.07768664339734954,0.0044968,0.419614
5370.0,3.2155,3.241648233174847,-0.026148233174847046,0.0038198999999999998,0.4198062
5500.0,3.1922,3.242897502478373,-0.05069750247837268,0.003137,0.419994
5630.0,3.2141,3.2442178731781963,-0.030117873178196142,0.0024481,0.4201754
5760.0,3.2555,3.2455923648895864,0.009907635110413704,0.0017534,0.420353
5880.0,3.2712,3.246894197427059,0.024305802572941015,0.0011086,0.4205118
6010.0,3.2881,3.2483238961382344,0.039776103861765666,0.00040679999999999997,0.4206796
6140.0,3.2644,3.2497564787237905,0.014643521276209714,-0.0002982,0.4208418
6270.0,3.2178,3.2511741309278865,-0.03337413092788655,-0.0010041,0.4209983
6400.0,3.1614,3.2525590373614057,-0.09115903736140574,-0.00171,0.42115
6530.0,3.2539,3.2538934761851754,6.523814824355156e-06,-0.0024156,0.421296
6660.0,3.334,3.2551599183191104,0.07884008168088963,-0.0031202,0.4214366
6790.0,3.2341,3.25634113115718,-0.02224113115717996,-0.003823,0.4215717
6920.0,3.2426,3.2574202867001216,-0.014820286700121699,-0.004522399999999999,0.42170019999999997
7050.0,3.2533,3.2583810739549426,-0.0050810739549427275,-0.00522,0.421823
7180.0,3.2154,3.2592078155772914,-0.04380781557729163,-0.0059144,0.4219402
7310.0,3.1373,3.259885588720432,-0.1225855887204319,-0.0066037000000000005,0.4220512
7440.0,3.0645,3.2604003499983683,-0.19590034999836847,-0.0072868,0.4221562
7570.0,3.157,3.260739064443234,-0.10373906444323389,-0.0079619,0.4222548
7690.0,3.2535,3.260885162648413,-0.007385162648413157,-0.0085778,0.42234
7820.0,3.295,3.260852998407475,0.03414700159252515,-0.0092336,0.4224266
7950.0,3.1823,3.2606137304516176,-0.07831373045161749,-0.009877,0.4225065
8109.999999999999,3.1889,3.2600235945249647,-0.07112359452496486,-0.010650099999999996,0.4225972
8490.0,3.2207,3.2572626211538824,-0.036562621153882535,-0.012383,0.4227719
8880.0,3.2534,3.252420783075604,0.0009792169243962867,-0.0139934,0.4228922
9260.0,3.3099,3.245871361053576,0.06402863894642374,-0.0153782,0.42295340000000003
9650.0,3.3362,3.2376020693517185,0.09859793064828137,-0.016612500000000002,0.4229555
10030.0,3.2135,3.228573275478051,-0.015073275478051151,-0.0176407,0.4228988
10420.0,3.25,3.2190974127473173,0.03090258725268269,-0.0185162,0.422779
10800.0,3.4301,3.210642904794325,0.21945709520567513,-0.019144,0.422603
11190.0,3.1979,3.2039939782028184,-0.006093978202818207,-0.0195174,0.42235979999999995
11500.0,3.41,3.2011175458836068,0.2088824541163934,-0.019616,0.422122
11710.0,3.3447,3.200814363000336,0.14388563699966417,-0.0195904,0.4219387
13260.0,3.2149,3.2653310577695387,-0.0504310577695386,-0.0173096,0.4200548
14440.0,3.2614,3.429395485362299,-0.16799548536229914,-0.0132808,0.4180174
14820.0,3.3816,3.5071719595984674,-0.12557195959846723,-0.0116178,0.4172608
15110.0,3.6169,3.574482188755913,0.042417811244086945,-0.010252299999999999,0.4166534
15400.0,3.7468,3.6482528414612436,0.09854715853875629,-0.008817,0.41602
15680.0,3.1474,3.725085511256083,-0.5776855112560826,-0.007379,0.415385
15960.0,3.7837,3.8067775712699006,-0.02307757126990051,-0.0059022,0.4147292
16250.0,3.9697,3.8956911639733716,0.07400883602662844,-0.0043479999999999994,0.4140285
16530.0,3.4903,3.9847886574106544,-0.4944886574106544,-0.0028269000000000002,0.4133321
16660.0,3.501,4.02696808987594,-0.5259680898759398,-0.0021146,0.413002
16720.0,3.8991,4.0465680063112766,-0.14746800631127677,-0.001785,0.4128486
16780.0,3.6325,4.066237278896096,-0.4337372788960958,-0.0014550000000000001,0.41269439999999996
16840.0,3.8419,4.085965444814903,-0.2440654448149031,-0.0011242000000000001,0.4125394
16900.0,4.1453,4.105741936980738,0.03955806301926135,-0.000793,0.412384
